Feature,Importance
weight,0.32550827
height,0.08961407
passing_TD,0.06803123
kicking_FGM,0.023628749
interceptions_INT,0.019239297
passing_INT,0.01880481
passing_PCT,0.016855868
passing_YPA,0.01614412
defensive_TFL,0.015243228
rushing_TD,0.015186964
kicking_PCT,0.014681278
kickReturns_AVG,0.013673563
receiving_TD,0.013311808
puntReturns_NO,0.013306464
receiving_YPR,0.012777633
interceptions_TD,0.012693665
defensive_TOT,0.012327725
kicking_FGA,0.0122616375
defensive_SOLO,0.01202086
rushing_YDS,0.0118371295
defensive_SACKS,0.011560828
punting_LONG,0.01139993
puntReturns_LONG,0.011288318
receiving_YDS,0.011265162
rushing_CAR,0.010953856
punting_YPP,0.010945302
defensive_PD,0.010904765
fumbles_FUM,0.010737931
kickReturns_YDS,0.010571696
rushing_YPC,0.010565721
interceptions_AVG,0.010511776
passing_ATT,0.010097313
receiving_REC,0.009887894
receiving_LONG,0.00983949
fumbles_REC,0.009775367
kickReturns_NO,0.009502684
interceptions_YDS,0.009348925
passing_YDS,0.00889754
kickReturns_LONG,0.008591536
puntReturns_AVG,0.008303756
defensive_QB HUR,0.008231131
rushing_LONG,0.008104899
punting_YDS,0.007889612
passing_COMPLETIONS,0.0070469584
defensive_TD,0.0061669787
puntReturns_YDS,0.0051370724
kicking_PTS,0.004985114
fumbles_LOST,0.0042351796
punting_NO,0.004050011
kicking_XPA,0.0013833699
kicking_XPM,0.0006715164
puntReturns_TD,0.0
punting_TB,0.0
punting_In 20,0.0
kicking_LONG,0.0
kickReturns_TD,0.0
